URL	True Label	Prediction	Match?
-------------------------------------------
0000111servicehelpdesk.godaddysites.com	phishing	phishing	✓
000011accesswebform.godaddysites.com	phishing	phishing	✓
00003.online	phishing	phishing	✓
0009servicedeskowa.godaddysites.com	phishing	phishing	✓
000n38p.wcomhost.com	phishing	phishing	✓
000n38t.wcomhost.com	phishing	phishing	✓
000n8pc.wcomhost.com	phishing	phishing	✓
000ne9r.wcomhost.com	phishing	phishing	✓
000njep.wcomhost.com	phishing	phishing	✓
000nku9.wcomhost.com	phishing	phishing	✓
000nt6r.wcomhost.com	phishing	phishing	✓
000nx2b.wcomhost.com	phishing	phishing	✓
000o1g0.wcomhost.com	phishing	phishing	✓
000o2ba.wcomhost.com	phishing	phishing	✓
000o2sl.wcomhost.com	phishing	phishing	✓
000o4d4.wcomhost.com	phishing	phishing	✓
000o4n8.wcomhost.com	phishing	phishing	✓
000o5eh.wcomhost.com	phishing	phishing	✓
000o8dc.wcomhost.com	phishing	phishing	✓
001002.xyz	phishing	phishing	✓
0010defaulttypeds0678pailem.weebly.com	phishing	phishing	✓
00110omeopranslateslentldetext.godaddysites.com	phishing	phishing	✓
00432453212346.z13.web.core.windows.net	phishing	phishing	✓
00e9e64bacce231bc2e4635333a7a68bbab82bbabbb7941b9b-apidata.googleusercontent.com	phishing	phishing	✓
00wellsfarg.azurewebsites.net	phishing	phishing	✓
0101-mx001.emailnetwork.uk	phishing	phishing	✓
0132.slfrc209.com	phishing	phishing	✓
018161955758690-dot-cjr-ksh-egy.appspot.com	phishing	phishing	✓
0307shppsp01.fun	phishing	phishing	✓
0331.16mb.com	phishing	phishing	✓
http://www.crestonwood.com/router.php	legit	legit	✓
http://rgipt.ac.in	legit	legit	✓
http://www.iracing.com/tracks/gateway-motorsports-park/	legit	legit	✓
http://www.mutuo.it	legit	legit	✓
http://vamoaestudiarmedicina.blogspot.com/	legit	legit	✓
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/	legit	legit	✓
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp	legit	legit	✓
https://www.lifewire.com/tcp-port-21-818146	legit	legit	✓
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/	legit	legit	✓
https://www.missfiga.com/	legit	legit	✓
https://www.chiefarchitect.com/	legit	legit	✓
http://www.2345daohang.com/	legit	legit	✓
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/	legit	legit	✓
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark	legit	legit	✓
http://sophie-world.com/games/port-and-starboard	legit	legit	✓
https://www.provenancevineyards.com/	legit	legit	✓
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/	legit	legit	✓
http://www.enkiquotes.com/	legit	legit	✓
https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo	legit	legit	✓
https://www.chiostrodelbramante.it/	legit	legit	✓
http://yummy-cummy-in-my-tummy.tumblr.com	legit	legit	✓
http://www.j-net.cn/cms	legit	legit	✓
http://press-preview.weebly.com	legit	legit	✓
http://taccs.hu	legit	legit	✓
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs	legit	legit	✓
https://www.merriam-webster.com/dictionary/tabloid	legit	legit	✓
https://www.bls.gov/oes/current/oes292035.htm	legit	legit	✓
https://ru.wikipedia.org/wiki/MultiMedia_Card	legit	legit	✓
http://searchnetworking.techtarget.com/tip/Comparisons-of-coaxial-cable-fiber-optic-cable-and-twisted-pair-cable	legit	legit	✓
https://www.provenancevineyards.com/our-wines	legit	legit	✓
